Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,S,S_1,S_2,S_3,S_4,S_5,S_6
140,25.473694,0.024246216,0.10258007,0.50089854,0.4956454,0.521394,0.50771934,0.52786297,0.5190239,1670,209,89,484,284,92,512
141,25.277151,0.024246216,0.10258007,0.5007798,0.5323512,0.5211722,0.5076119,0.5189407,0.5187905,1670,209,89,484,284,92,512
142,24.912281,0.023935318,0.10258007,0.5006634,0.49604008,0.520956,0.5075125,0.52716523,0.51857525,1670,209,89,484,284,92,512
143,24.721672,0.02362448,0.10258007,0.5005499,0.53192616,0.5207636,0.5074242,0.51844305,0.5183551,1670,209,89,484,284,92,512
144,24.369661,0.02362448,0.10258007,0.5004385,0.4964339,0.52056795,0.5073399,0.526482,0.5181584,1670,209,89,484,284,92,512
145,24.188076,0.023935318,0.10289091,0.5003291,0.5315093,0.5203887,0.5072645,0.51795846,0.5179498,1670,209,89,484,284,92,512
146,23.850115,0.023935318,0.10289091,0.5002218,0.49681738,0.5202067,0.50717574,0.52581453,0.51778173,1670,209,89,484,284,92,512
147,23.67385,0.023935318,0.10258007,0.50011635,0.53110677,0.52003914,0.50710565,0.5174884,0.51762533,1670,209,89,484,284,92,512
148,23.34888,0.023935318,0.10258007,0.50001454,0.49718907,0.5198832,0.50703114,0.5251841,0.5174579,1670,209,89,484,284,92,512
149,23.178396,0.023935318,0.10258007,0.49991444,0.5307194,0.5197237,0.5069593,0.51705503,0.5173168,1670,209,89,484,284,92,512
150,22.871004,0.023935318,0.10258007,0.49981603,0.49754384,0.5195782,0.506894,0.5245838,0.5171764,1670,209,89,484,284,92,512
151,22.709293,0.023935318,0.10226917,0.49971932,0.5303507,0.5194263,0.50682044,0.5166327,0.51704174,1670,209,89,484,284,92,512
152,22.419647,0.023935318,0.10226917,0.49962437,0.49787873,0.5192924,0.5067602,0.5240039,0.5168999,1670,209,89,484,284,92,512
153,22.270725,0.023935318,0.101958334,0.49953115,0.5300027,0.51917464,0.5066839,0.51621914,0.5167844,1670,209,89,484,284,92,512
