Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,PhatBar_7,PhatBar_8,PhatBar_9,PhatBar_10,S,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10
89,40.63635,0.111320734,0.30675423,0.52781695,0.53464705,0.45603657,0.46087772,0.5035059,0.57282144,0.5169539,0.00019856817,0.42208952,0.5393917,749,140,219,18,16,24,132,88,7,28,77
90,40.414547,0.111320734,0.30675423,0.52733815,0.5338311,0.45701492,0.46102268,0.503737,0.5730214,0.51707786,0.00020605605,0.42306918,0.5389895,749,140,219,18,16,24,132,88,7,28,77
91,40.22806,0.111320734,0.3076923,0.52695817,0.53411895,0.45796335,0.46057218,0.503918,0.5719096,0.51700646,0.00021399221,0.42402127,0.5386191,749,140,219,18,16,24,132,88,7,28,77
92,40.06776,0.111320734,0.3076923,0.5264934,0.5323376,0.45872,0.46102518,0.5040821,0.5736356,0.5171715,0.00022246441,0.4249877,0.5381592,749,140,219,18,16,24,132,88,7,28,77
93,39.876183,0.111320734,0.3086304,0.5260652,0.5329719,0.4598198,0.46049142,0.50425524,0.57255137,0.51687044,0.00023149846,0.42592838,0.5377878,749,140,219,18,16,24,132,88,7,28,77
94,39.69387,0.111320734,0.3086304,0.52560246,0.53151363,0.46057537,0.460523,0.50438005,0.5733099,0.517675,0.00024117672,0.42684802,0.53742206,749,140,219,18,16,24,132,88,7,28,77
95,39.547714,0.111320734,0.30956846,0.5253211,0.5310522,0.461331,0.46051246,0.5045958,0.5739007,0.51689667,0.00025146088,0.42771807,0.53706735,749,140,219,18,16,24,132,88,7,28,77
96,39.33287,0.111320734,0.3086304,0.5248715,0.5315619,0.462093,0.46035784,0.50457126,0.57227975,0.5175405,0.0002625988,0.42862752,0.5367069,749,140,219,18,16,24,132,88,7,28,77
97,39.237293,0.111320734,0.3086304,0.52446693,0.5297653,0.4629894,0.45999357,0.50465506,0.5745573,0.517404,0.00027447898,0.42950836,0.53637064,749,140,219,18,16,24,132,88,7,28,77
98,39.009884,0.11226416,0.3086304,0.52407706,0.5305711,0.46377283,0.46012577,0.50479716,0.57265097,0.51766294,0.00028732745,0.4303708,0.53600705,749,140,219,18,16,24,132,88,7,28,77
99,38.88885,0.11320752,0.3086304,0.5238327,0.5288924,0.46444273,0.45987532,0.5048562,0.5738713,0.5182346,0.00030112106,0.43117502,0.53570706,749,140,219,18,16,24,132,88,7,28,77
100,38.716633,0.11320752,0.30956846,0.52339274,0.52910936,0.46529087,0.4597435,0.5048458,0.57352334,0.5178535,0.000315985,0.43196967,0.5353939,749,140,219,18,16,24,132,88,7,28,77
101,38.57317,0.11320752,0.30956846,0.5231325,0.5290829,0.46581256,0.45928198,0.50498843,0.57304835,0.5182736,0.00033217072,0.43277934,0.53507835,749,140,219,18,16,24,132,88,7,28,77
102,38.44219,0.11320752,0.3076923,0.52281433,0.5276422,0.4663607,0.45955107,0.505006,0.5740093,0.5185306,0.0003497059,0.43356362,0.53476435,749,140,219,18,16,24,132,88,7,28,77
103,38.29459,0.11415094,0.3086304,0.52251095,0.5282312,0.4672271,0.45908028,0.5050756,0.57322013,0.51841015,0.0003688159,0.4343091,0.5344782,749,140,219,18,16,24,132,88,7,28,77
104,38.150085,0.11415094,0.30956846,0.5221446,0.52691156,0.46782175,0.4591633,0.505062,0.5734782,0.5196079,0.00038970073,0.435085,0.5341751,749,140,219,18,16,24,132,88,7,28,77
105,38.03189,0.11415094,0.30956846,0.5219549,0.5272284,0.46822372,0.45901614,0.50505763,0.5735659,0.5185376,0.00041241842,0.43583426,0.5338964,749,140,219,18,16,24,132,88,7,28,77
106,37.883873,0.11509436,0.3086304,0.52154106,0.5270147,0.4689757,0.4584695,0.5050798,0.5727356,0.51981264,0.00043765857,0.4365982,0.5335787,749,140,219,18,16,24,132,88,7,28,77
107,37.80666,0.11603773,0.3086304,0.52126986,0.52610415,0.4696082,0.45834255,0.505061,0.5744513,0.5190052,0.000465306,0.43733734,0.5333076,749,140,219,18,16,24,132,88,7,28,77
108,37.623333,0.11603773,0.3086304,0.52097225,0.52602494,0.47008133,0.45923346,0.5050177,0.5725798,0.52001834,0.0004961851,0.438083,0.5330161,749,140,219,18,16,24,132,88,7,28,77
109,37.5533,0.11698115,0.30956846,0.5207778,0.5254741,0.47071397,0.4579005,0.5051125,0.5740586,0.519982,0.0005303495,0.4388147,0.53270626,749,140,219,18,16,24,132,88,7,28,77
110,37.3932,0.11698115,0.3086304,0.5204105,0.5251066,0.47128493,0.45901972,0.5050909,0.57278603,0.52046084,0.00056850835,0.43952268,0.53243417,749,140,219,18,16,24,132,88,7,28,77
111,37.3281,0.11698115,0.30956846,0.5201493,0.52546805,0.47175142,0.45907158,0.50517917,0.57298946,0.519529,0.000611548,0.44023195,0.5321433,749,140,219,18,16,24,132,88,7,28,77
112,37.236355,0.11698115,0.30956846,0.51979715,0.5239691,0.47251284,0.45758888,0.50516474,0.5735512,0.52159935,0.00066026475,0.4409155,0.5318781,749,140,219,18,16,24,132,88,7,28,77
113,37.19644,0.11698115,0.31050658,0.5197491,0.52586174,0.47270265,0.45750073,0.5051968,0.5732355,0.51895744,0.0007154444,0.44159943,0.53160226,749,140,219,18,16,24,132,88,7,28,77
