Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5,TestingError,TrainingError
130,0.174003601,0.693146527,0.565306723,0.798633993,0.666696846,0.621281326,482,91,99,96,97,99,0.226000011,0.033999979
131,0.173242733,0.693119526,0.565386057,0.798394859,0.666676521,0.621298373,482,91,99,96,97,99,0.223999977,0.033999979
132,0.172673523,0.693089902,0.565457225,0.798238099,0.666662931,0.621306777,482,91,99,96,97,99,0.222000003,0.036000013
133,0.172128707,0.693063974,0.565529823,0.798144817,0.666645646,0.621306419,482,91,99,96,97,99,0.223999977,0.037999988
134,0.17147693,0.693035662,0.565629005,0.797936261,0.666631162,0.621315181,482,91,99,96,97,99,0.226000011,0.041999996
135,0.170955241,0.693013191,0.565700471,0.797765911,0.666616201,0.621322095,482,91,99,96,97,99,0.226000011,0.041999996
136,0.170355678,0.692988038,0.565792441,0.797617495,0.666598618,0.621322989,482,91,99,96,97,99,0.226000011,0.04400003
137,0.169823438,0.692965031,0.565858662,0.797458231,0.666583896,0.621332586,482,91,99,96,97,99,0.226000011,0.046000004
138,0.169321641,0.692938864,0.565922618,0.797301948,0.666564465,0.621341169,482,91,99,96,97,99,0.223999977,0.046000004
139,0.16875343,0.692915559,0.566005826,0.797134101,0.666548252,0.621344745,482,91,99,96,97,99,0.223999977,0.046000004
140,0.168258414,0.692889333,0.566072702,0.796953201,0.666528523,0.621356428,482,91,99,96,97,99,0.226000011,0.046000004
141,0.167799473,0.692863405,0.566137671,0.796809375,0.666510642,0.621364176,482,91,99,96,97,99,0.226000011,0.046000004
142,0.167287543,0.692838371,0.566208124,0.79667455,0.666494012,0.621369123,482,91,99,96,97,99,0.226000011,0.046000004
143,0.166709617,0.692811131,0.566289842,0.796451092,0.666474581,0.621380806,482,91,99,96,97,99,0.226000011,0.046000004
144,0.166287035,0.692785382,0.566365242,0.796357453,0.666455686,0.621379495,482,91,99,96,97,99,0.226000011,0.046000004
145,0.16577068,0.692759335,0.566435516,0.796186924,0.666438162,0.621392906,482,91,99,96,97,99,0.226000011,0.046000004
146,0.165245891,0.692734122,0.566513598,0.795962811,0.666418254,0.621405661,482,91,99,96,97,99,0.227999985,0.046000004
147,0.164793327,0.692708373,0.566592157,0.795876324,0.66640079,0.621403337,482,91,99,96,97,99,0.227999985,0.046000004
148,0.164265499,0.69268465,0.566678047,0.795661747,0.666380763,0.621417701,482,91,99,96,97,99,0.230000019,0.046000004
149,0.163775772,0.692654848,0.56674993,0.795478344,0.66636014,0.621431231,482,91,99,96,97,99,0.230000019,0.046000004
150,0.163305625,0.692623794,0.566834748,0.795308769,0.666342914,0.621437907,482,91,99,96,97,99,0.227999985,0.046000004
151,0.162785083,0.692598224,0.566919923,0.79514575,0.666324079,0.621443987,482,91,99,96,97,99,0.230000019,0.046000004
152,0.162307695,0.692569256,0.566993058,0.794939995,0.666303754,0.621459067,482,91,99,96,97,99,0.227999985,0.047999978
153,0.161841616,0.692539692,0.567089796,0.794744909,0.666287422,0.621468484,482,91,99,96,97,99,0.226000011,0.050000012
154,0.161414519,0.692515075,0.567154765,0.794676006,0.666264415,0.621473014,482,91,99,96,97,99,0.226000011,0.051999986
155,0.160914645,0.692487359,0.56724751,0.794447601,0.666248143,0.621486902,482,91,99,96,97,99,0.227999985,0.051999986
156,0.160477281,0.692460835,0.567328513,0.7942729,0.666229069,0.621497631,482,91,99,96,97,99,0.227999985,0.051999986
157,0.160002291,0.692433596,0.567419827,0.794117868,0.666204154,0.621504068,482,91,99,96,97,99,0.227999985,0.051999986
158,0.159541368,0.692405581,0.56750524,0.793919146,0.666190922,0.621520162,482,91,99,96,97,99,0.223999977,0.051999986
