Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
176,112.691666,0.07999998,0.286,0.6991675,0.58835477,0.8070634,0.6679309,0.64508414,482,91,100,95,97,99
177,112.6915,0.07999998,0.286,0.6991671,0.5883548,0.8070632,0.6679308,0.6450841,482,91,100,95,97,99
178,112.691315,0.07999998,0.286,0.6991667,0.5883549,0.8070632,0.6679306,0.6450841,482,91,100,95,97,99
179,112.69113,0.07999998,0.286,0.69916636,0.588355,0.80706304,0.66793054,0.645084,482,91,100,95,97,99
180,112.69096,0.07999998,0.286,0.69916594,0.58835506,0.807063,0.66793036,0.645084,482,91,100,95,97,99
181,112.690796,0.07999998,0.286,0.6991656,0.5883551,0.8070628,0.6679303,0.645084,482,91,100,95,97,99
182,112.69062,0.07999998,0.286,0.69916517,0.5883551,0.80706275,0.6679301,0.64508396,482,91,100,95,97,99
183,112.69044,0.07999998,0.286,0.6991648,0.5883552,0.8070626,0.66793007,0.64508396,482,91,100,95,97,99
184,112.69026,0.07999998,0.286,0.69916445,0.58835524,0.8070625,0.6679299,0.6450839,482,91,100,95,97,99
185,112.69009,0.07999998,0.286,0.6991641,0.5883553,0.8070625,0.6679297,0.6450839,482,91,100,95,97,99
186,112.68991,0.07999998,0.286,0.6991637,0.5883554,0.8070623,0.66792965,0.64508384,482,91,100,95,97,99
187,112.68973,0.07999998,0.286,0.6991633,0.5883554,0.80706215,0.66792953,0.64508384,482,91,100,95,97,99
188,112.68956,0.07999998,0.286,0.69916296,0.5883555,0.8070621,0.6679294,0.6450838,482,91,100,95,97,99
189,112.68938,0.07999998,0.286,0.69916254,0.58835554,0.80706185,0.6679293,0.6450838,482,91,100,95,97,99
190,112.689186,0.07999998,0.286,0.6991622,0.5883556,0.80706185,0.6679291,0.6450838,482,91,100,95,97,99
191,112.689026,0.07999998,0.286,0.6991618,0.58835566,0.8070617,0.66792893,0.6450837,482,91,100,95,97,99
192,112.68885,0.07999998,0.286,0.69916135,0.5883557,0.8070616,0.6679288,0.64508367,482,91,100,95,97,99
193,112.688675,0.07999998,0.288,0.69916105,0.5883558,0.80706155,0.6679287,0.64508367,482,91,100,95,97,99
194,112.68851,0.07999998,0.288,0.69916064,0.58835584,0.80706143,0.66792864,0.6450836,482,91,100,95,97,99
195,112.688324,0.07999998,0.288,0.6991602,0.5883559,0.8070612,0.66792846,0.6450836,482,91,100,95,97,99
196,112.68813,0.07999998,0.288,0.69915986,0.588356,0.807061,0.66792834,0.6450836,482,91,100,95,97,99
197,112.68796,0.07999998,0.288,0.6991595,0.588356,0.80706096,0.6679282,0.64508355,482,91,100,95,97,99
198,112.68777,0.07999998,0.288,0.6991591,0.5883561,0.8070609,0.6679281,0.64508355,482,91,100,95,97,99
199,112.6876,0.07999998,0.288,0.6991586,0.5883562,0.8070607,0.6679279,0.64508355,482,91,100,95,97,99
200,112.687416,0.07999998,0.288,0.6991584,0.58835626,0.8070607,0.66792786,0.6450835,482,91,100,95,97,99
201,112.68724,0.07999998,0.288,0.69915795,0.58835626,0.80706054,0.6679277,0.64508337,482,91,100,95,97,99
202,112.68706,0.07999998,0.288,0.6991575,0.5883563,0.8070604,0.66792756,0.64508337,482,91,100,95,97,99
203,112.686874,0.07999998,0.288,0.6991571,0.5883564,0.8070603,0.66792744,0.64508337,482,91,100,95,97,99
204,112.68669,0.07999998,0.288,0.6991567,0.58835644,0.8070602,0.6679274,0.64508337,482,91,100,95,97,99
205,112.68651,0.07999998,0.288,0.69915634,0.5883565,0.80706,0.6679272,0.64508337,482,91,100,95,97,99
206,112.68635,0.07999998,0.288,0.6991559,0.5883566,0.80705994,0.6679271,0.6450833,482,91,100,95,97,99
207,112.68615,0.07999998,0.288,0.6991555,0.5883567,0.8070598,0.6679269,0.6450833,482,91,100,95,97,99
208,112.685974,0.07999998,0.288,0.69915515,0.58835673,0.8070597,0.6679267,0.64508325,482,91,100,95,97,99
209,112.68578,0.07999998,0.288,0.69915473,0.58835673,0.80705947,0.66792667,0.6450832,482,91,100,95,97,99
210,112.68561,0.07999998,0.288,0.6991544,0.5883568,0.80705935,0.6679266,0.6450832,482,91,100,95,97,99
211,112.68541,0.07999998,0.288,0.69915396,0.5883569,0.8070593,0.66792643,0.6450832,482,91,100,95,97,99
212,112.68522,0.07999998,0.288,0.69915354,0.5883569,0.8070591,0.66792625,0.6450831,482,91,100,95,97,99
213,112.68504,0.07999998,0.288,0.6991531,0.588357,0.8070591,0.66792613,0.6450831,482,91,100,95,97,99
214,112.68487,0.07999998,0.288,0.69915277,0.58835703,0.80705893,0.66792595,0.645083,482,91,100,95,97,99
215,112.68467,0.07999998,0.288,0.6991523,0.58835715,0.8070589,0.6679259,0.645083,482,91,100,95,97,99
216,112.68448,0.07999998,0.288,0.699152,0.58835715,0.8070588,0.66792583,0.645083,482,91,100,95,97,99
217,112.68431,0.07999998,0.288,0.6991516,0.5883572,0.80705863,0.66792566,0.64508295,482,91,100,95,97,99
218,112.68412,0.07999998,0.288,0.69915116,0.5883573,0.80705845,0.6679255,0.6450829,482,91,100,95,97,99
219,112.68392,0.07999998,0.288,0.69915074,0.5883573,0.8070584,0.66792536,0.6450829,482,91,100,95,97,99
220,112.68375,0.07999998,0.288,0.6991503,0.58835745,0.8070582,0.6679252,0.6450829,482,91,100,95,97,99
221,112.68356,0.07999998,0.288,0.69914997,0.5883575,0.80705816,0.6679252,0.6450829,482,91,100,95,97,99
222,112.68338,0.07999998,0.288,0.6991495,0.5883575,0.8070581,0.667925,0.6450828,482,91,100,95,97,99
223,112.6832,0.07999998,0.288,0.6991492,0.58835757,0.8070579,0.6679249,0.6450828,482,91,100,95,97,99
224,112.683014,0.07999998,0.286,0.6991487,0.5883577,0.8070579,0.6679247,0.6450827,482,91,100,95,97,99
225,112.68283,0.07999998,0.286,0.6991483,0.58835775,0.80705774,0.6679245,0.6450827,482,91,100,95,97,99
226,112.68265,0.07999998,0.286,0.6991479,0.58835775,0.8070577,0.66792446,0.6450827,482,91,100,95,97,99
227,112.68244,0.07999998,0.286,0.69914746,0.58835787,0.8070575,0.6679243,0.6450827,482,91,100,95,97,99
228,112.68226,0.07999998,0.286,0.69914705,0.5883579,0.80705744,0.66792417,0.64508265,482,91,100,95,97,99
